Searched-Book-Title,Recommended-Book-Title,Recommended-Book-Author,Recommended-Book-Image-URL
1984,Animal Farm,George Orwell,http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg
1984,The Handmaid's Tale,Margaret Atwood,http://images.amazon.com/images/P/0449212602.01.MZZZZZZZ.jpg
1984,Brave New World,Aldous Huxley,http://images.amazon.com/images/P/0060809833.01.MZZZZZZZ.jpg
1984,Fahrenheit 451,Ray Bradbury,http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg
1st to Die: A Novel,Along Came a Spider (Alex Cross Novels),James Patterson,http://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg
1st to Die: A Novel,Roses Are Red (Alex Cross Novels),James Patterson,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg
1st to Die: A Novel,The Clinic (Alex Delaware Novels (Paperback)),Jonathan Kellerman,http://images.amazon.com/images/P/055357230X.01.MZZZZZZZ.jpg
1st to Die: A Novel,Pop Goes the Weasel,James Patterson,http://images.amazon.com/images/P/0316693286.01.MZZZZZZZ.jpg
2nd Chance,Four Blind Mice,James Patterson,http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg
2nd Chance,The Next Accident,LISA GARDNER,http://images.amazon.com/images/P/0553578693.01.MZZZZZZZ.jpg
2nd Chance,The Murder Book,Jonathan Kellerman,http://images.amazon.com/images/P/0345413903.01.MZZZZZZZ.jpg
2nd Chance,Violets Are Blue,James Patterson,http://images.amazon.com/images/P/0446611212.01.MZZZZZZZ.jpg
4 Blondes,The House of the Spirits,Isabel Allende,http://images.amazon.com/images/P/0553273914.01.MZZZZZZZ.jpg
4 Blondes,Pleading Guilty,Scott Turow,http://images.amazon.com/images/P/0446365505.01.MZZZZZZZ.jpg
4 Blondes,Seabiscuit,LAURA HILLENBRAND,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg
4 Blondes,Bridget Jones: The Edge of Reason,Helen Fielding,http://images.amazon.com/images/P/0140298479.01.MZZZZZZZ.jpg
A Bend in the Road,A Walk to Remember,Nicholas Sparks,http://images.amazon.com/images/P/0446608955.01.MZZZZZZZ.jpg
A Bend in the Road,The Last Time They Met : A Novel,Anita Shreve,http://images.amazon.com/images/P/0316781266.01.MZZZZZZZ.jpg
A Bend in the Road,Family Album,Danielle Steel,http://images.amazon.com/images/P/0440124344.01.MZZZZZZZ.jpg
A Bend in the Road,Cradle and All,James Patterson,http://images.amazon.com/images/P/0316690619.01.MZZZZZZZ.jpg
A Case of Need,Clear and Present Danger (Jack Ryan Novels),Tom Clancy,http://images.amazon.com/images/P/0425122123.01.MZZZZZZZ.jpg
A Case of Need,Exclusive,Sandra Brown,http://images.amazon.com/images/P/0446604232.01.MZZZZZZZ.jpg
A Case of Need,Harvest,BELVA PLAIN,http://images.amazon.com/images/P/0440208912.01.MZZZZZZZ.jpg
A Case of Need,Mind Prey,John Sandford,http://images.amazon.com/images/P/0425152898.01.MZZZZZZZ.jpg
"A Child Called \It\"": One Child's Courage to Survive""",A Man Named Dave: A Story of Triumph and Forgiveness,David J. Pelzer,http://images.amazon.com/images/P/0525945210.01.MZZZZZZZ.jpg
"A Child Called \It\"": One Child's Courage to Survive""",The Notebook,Nicholas Sparks,http://images.amazon.com/images/P/0446605239.01.MZZZZZZZ.jpg
"A Child Called \It\"": One Child's Courage to Survive""",On the Street Where You Live,Mary Higgins Clark,http://images.amazon.com/images/P/0671004530.01.MZZZZZZZ.jpg
"A Child Called \It\"": One Child's Courage to Survive""",Homecoming,Cynthia Voigt,http://images.amazon.com/images/P/0449702545.01.MZZZZZZZ.jpg
A Civil Action,The Genesis Code,John Case,http://images.amazon.com/images/P/0345422317.01.MZZZZZZZ.jpg
A Civil Action,The Shipping News : A Novel,Annie Proulx,http://images.amazon.com/images/P/0743225406.01.MZZZZZZZ.jpg
A Civil Action,Exclusive,Sandra Brown,http://images.amazon.com/images/P/0446604232.01.MZZZZZZZ.jpg
A Civil Action,Call of the Wild,Jack London,http://images.amazon.com/images/P/1559029838.01.MZZZZZZZ.jpg
A Day Late and a Dollar Short,Exclusive,Sandra Brown,http://images.amazon.com/images/P/0446604232.01.MZZZZZZZ.jpg
A Day Late and a Dollar Short,The Simple Truth,David Baldacci,http://images.amazon.com/images/P/0446607711.01.MZZZZZZZ.jpg
A Day Late and a Dollar Short,Jacob Have I Loved,Katherine Paterson,http://images.amazon.com/images/P/0380564998.01.MZZZZZZZ.jpg
