Book-Title,Book-Author,Image-URL-M,num_ratings,avg_rating
Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,428,5.852803738317757
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,387,5.8242894056847545
The Little Prince,Antoine de Saint-Exup̩ry,http://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg,141,5.815602836879433
Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,278,5.737410071942446
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg,347,5.501440922190202
Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,http://images.amazon.com/images/P/0312853238.01.MZZZZZZZ.jpg,249,5.409638554216867
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,556,5.183453237410072
The Perks of Being a Wallflower,Stephen Chbosky,http://images.amazon.com/images/P/0671027344.01.MZZZZZZZ.jpg,104,5.144230769230769
The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,281,5.00711743772242
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg,368,4.948369565217392
The Giver (21st Century Reference),LOIS LOWRY,http://images.amazon.com/images/P/0440219078.01.MZZZZZZZ.jpg,179,4.916201117318436
Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,http://images.amazon.com/images/P/0553375407.01.MZZZZZZZ.jpg,162,4.907407407407407
Interpreter of Maladies,Jhumpa Lahiri,http://images.amazon.com/images/P/039592720X.01.MZZZZZZZ.jpg,136,4.897058823529412
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,575,4.895652173913043
"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg,260,4.880769230769231
Anne Frank: The Diary of a Young Girl,ANNE FRANK,http://images.amazon.com/images/P/0553296981.01.MZZZZZZZ.jpg,142,4.852112676056338
Charlotte's Web (Trophy Newbery),E. B. White,http://images.amazon.com/images/P/0064400557.01.MZZZZZZZ.jpg,129,4.782945736434108
The Other Boleyn Girl,Philippa Gregory,http://images.amazon.com/images/P/0743227441.01.MZZZZZZZ.jpg,159,4.761006289308176
To Kill a Mockingbird,Harper Lee,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,510,4.7
The Da Vinci Code,Dan Brown,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,898,4.642538975501114
Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,http://images.amazon.com/images/P/0441790348.01.MZZZZZZZ.jpg,130,4.615384615384615
Dune (Remembering Tomorrow),Frank Herbert,http://images.amazon.com/images/P/0441172717.01.MZZZZZZZ.jpg,146,4.609589041095891
Fight Club,Chuck Palahniuk,http://images.amazon.com/images/P/0805062971.01.MZZZZZZZ.jpg,102,4.607843137254902
The Last Juror,John Grisham,http://images.amazon.com/images/P/0385510438.01.MZZZZZZZ.jpg,117,4.564102564102564
Siddhartha,Hermann Hesse,http://images.amazon.com/images/P/0553208845.01.MZZZZZZZ.jpg,172,4.563953488372093
